,ArcA<-!O2xt_b,Cra<-!SurplusFDP,DcuR<-DcuS,DcuS<-SUCCxt_b,FadR<-!ACxt_b,FadR<-GLCxt_b,Fnr<-!O2xt_b,GalR<-!LCTSxt_b,GalS<-!LCTSxt_b,GlpR<-1,IclR<-FadR,LACUP<-1,Lacl<-!LCTSxt_b,Mlc<-!GLCxt_b,PdhR<-!SurplusPYR,RbsR<-1,RpiR<-1,SurplusF6P<-1,SurplusFDP<-1,SurplusPYR<-1,aceA<-!IclR,aceB<-!ArcA+!IclR,aceEF<-!PdhR,acnA<-ACxt_b,acnA<-LCTSxt_b,acnB<-ACxt_b,acnB<-LCTSxt_b,acs<-!ETHxt_b+!IclR+!LACxt_b+!LCTSxt_b,adhE<-!Cra,adhE<-!O2xt_b,cydAB<-1,cyoABCD<-!Fnr,cyoABCD<-!ArcA,dctA<-!ArcA+!GLCxt_b+!LACxt_b+!LCTSxt_b,dcuB<-DcuR,dcuC<-Fnr,dcuC<-ArcA,fdnGHI<-Fnr,focA<-Fnr,focA<-ArcA,frdABCD<-Fnr,fumA<-!Fnr,fumA<-!ArcA,fumB<-Fnr,galE<-!GLCxt_b+!GalS,galE<-!GLCxt_b+!GalR,galK<-!GLCxt_b+!GalS,galK<-!GLCxt_b+!GalR,galM<-!GLCxt_b+!GalS,galM<-!GLCxt_b+!GalR,galP<-ACxt_b,galP<-LCTSxt_b,galT<-!GLCxt_b+!GalS,galT<-!GLCxt_b+!GalR,glpABC<-!GlpR,glpD<-!GlpR,glpF<-!GlpR,glpK<-!GlpR,lacZ<-!GLCxt_b+!Lacl,lpdA<-!PdhR,mdh<-!ArcA,ndh<-!Fnr,pflAB<-Fnr,pflAB<-ArcA,pflCD<-Fnr,pflCD<-ArcA,pgk<-ACxt_b,pgk<-LCTSxt_b,ppsA<-Cra,ptsGHI<-ACxt_b,ptsGHI<-!Mlc,ptsGHI<-LCTSxt_b,pykF<-!Cra,rbsABCD<-!RbsR,rbsK<-!RbsR,rpiB<-!RpiR,sdhABCD<-!Fnr,sdhABCD<-!ArcA,sucAB<-!PdhR,LACUP<-!LCTSxt_b,LACUP<-!GLCxt_b,LACUP<-!GLCxt_b+!LCTSxt_b
rbsABCD<-!RbsR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
rbsK<-!RbsR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
rpiB<-!RpiR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0
sdhABCD<-!Fnr,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,0.0,50.0,50.0,50.0,50.0
sdhABCD<-!ArcA,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,,50.0,50.0,50.0,50.0
sucAB<-!PdhR,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0
LACUP<-!LCTSxt_b,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,50.0,0.0
LACUP<-!GLCxt_b,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,50.0,,0.0
LACUP<-!GLCxt_b+!LCTSxt_b,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,
ArcA<-!O2xt_b,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
nb_BN_with_it,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,4096.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,10240.0,10240.0,20480.0,20480.0,10240.0,10240.0,20480.0,10240.0,10240.0,20480.0,10240.0,10240.0,20480.0,10240.0,10240.0,10240.0,10240.0,10240.0,10240.0,20480.0,20480.0,10240.0,10240.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,20480.0,10240.0,10240.0,10240.0,10240.0,20480.0,20480.0,20480.0,20480.0,10240.0,10240.0,20480.0,20480.0,20480.0,20480.0,10240.0,10240.0,20480.0,8192.0,8192.0,4096.0
